"Herzogin Elisabeth Hospital,2, 1 Stern ,vor 7 Jahren,Gefällt mir,""Bei mir wurde eine Schlittenprothese eingesetzt und das Tableau zu weit nach vorn eingesetzt,irrsinnge Schmerzen noch nach 7 Monaten,daß Gelenk muß ausgetauscht werden.Nichtmal eine Enzschuldigung kam von der Klinik.Pflegepersonal super,aber O.P.daneben,nicht zu empfehlen-""";
"Herzogin Elisabeth Hospital,2, 3 Sterne ,vor 7 Jahren,3,""Mitte 2013 suchte ich aufgrund eines Knorpelschadens im linken Knie das Herzogin Elisabeth Hospital in Braunschweig auf. Die Erstuntersuchung nahm Herr Dr. Wilhelm vor, der mir bestätigte, dass der Knorpelschaden zwar nicht groß, aber wohl auch nur durch eine OP zu beheben sei. Wir setzten einen OP-Termin für Anfang September an.";
;
Wenige Tage vor der OP musste ich das HEH erneut aufsuchen, um mich von der Narkoseärztin über Formalitäten und Risiken aufklären zu lassen. Überraschenderweise wurde ich auch erneut untersucht. Ein Herr Dr. Schwerdtfeger sah sich mein Knie und die erst kürzlich angefertigen Röntgen- sowie MRT-Bilder abermals an und teilte mir mit, dass er gar wisse, was ich hier wolle. Er könne da nichts sehen.;
Zwischendurch klingelte sein Handy, er führte in abfälliger Wortwahl ein Telefonat mit seinem Gesprächspartner, kehrte dann zu meinen Belangen zurück. Dabei schien er wenig an meiner Person interessiert zu sein. Ich berichtete daraufhin von meinen Schmerzen bzw. den stark hörbaren Knackgeräuschen, die bei jeder Beugung auftraten. Sein abfälliger Kommentar: seine Knie würden auch knacken.;
"Daraufhin fragte ich, was er mit seinen Äußerungen meine und ob er mir von der OP abraten würde. Das verneinte er. Die OP sei nun angesetzt und dann wird sie auch durchgezogen. Auch wenn er nicht wisse, was das solle: """"Ihnen muss klar sein, dass wir möglicherweise aufmachen und nichts finden und dann einfach wieder zumachen. Dann bekommen Sie im schlimmsten Fall ne Entzündung, verklagen die Klinik, es geht vor Gericht und dann guckt mal einer richtig nach und fragt warum wir sie überhaupt operiert haben."""" Ich war sprachlos. Daraufhin Herr Dr. Schwerdtfeger: """"Oder aber wir müssen doch an den Knorpel ran. Dann dürfen Sie im Anschluss das Knie 6 bis 8 Wochen überhaupt nicht belasten. Dass müssen Sie sich überlegen.""""";
;
Völlig verunsichert verließ ich den Untersuchungsraum. Wie kann man nur einer Patientin kurz vor einer anstehenden OP so widersprüchliche Möglichkeiten des Behandlungsverlaufs aufzeigen und dabei ganz offensichtlich die Kompetenz von Herrn Dr. Wilhelm und seine Einschätzung des Sachverhaltes infrage stellen?;
;
Ich entschied mich dennoch für die OP. Meiner Meinung nach war sie die einzige Option auf Beschwerdefreiheit. Außerdem war mir Dr. Wilhelms Diagnose wichtiger als das unprofessionelle Gelaber seines Kollegen Schwerdtfeger.;
;
Die OP verlief problemlos – wenn auch leider nicht erfolgreich. Der Knorpel wurde geglättet und freie Knorpelteile sowie bereits entstandene Verwachsungen aus dem Knie entfernt. Dennoch bin ich nicht beschwerdefrei. Eine Verbesserung ist leider kaum spürbar.;
"Die Betreuung im ambulanten Operationszentrum der HEH war jedoch vorbildlich und ist lobend hervorzuheben. Schade, dass sich in einer so guten Klinik ein Arzt auf Kosten und zu Lasten der Patienten auf diese Art und Weise profiliert.""";
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor einem Jahr,3,Kompetentes Ärzteteam und aufmerksame Schwestern und Pfleger.;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,2,Bin bei Pr Heller alles Top;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor einem Jahr,1,Top Arbeitgeber !;
"Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,3,""Einfach toll.";
"Vielen Dank .""";
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 4 Jahren,3,Super Betreuung vom Anfang bis zur Entlassung😉;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,3,Alles Top;
"Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,3,""Freundliches Personal, moderne Technik im Zimmer""";
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 4 Jahren,3,Behandlung und so weiter;
"Herzogin Elisabeth Hospital,2, 1 Stern ,vor 17 Stunden,Gefällt mir,""Ich war heute Abend 21:30 in der Notaufnahme mit starken schmerzen (Fraktur schienbein&wadenbein) die haben mich weg geschickt mit der Aussage ich solle doch bitte in ein anderes kh in die Notaufnahme fahren ...oder morgen (montag) anrufen um mir einen termin in der Sprechstunde geben zu lassen ...";
"Man wird da nicht ernst genommen ...es wird nicht auf die Patienten eingegangen ..also wirklich traurig für eine Klinik die auf sowas spezialisiert sein soll ...""";
"Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 6 Monaten,1,""(Übersetzt von Google) Große Sorgfalt und ich danke Ihnen von ganzem Herzen für die Übersetzung. Alles ist großartig 👌 ❤️";
;
(Original);
"Super opieka i Dziękuję z całego serca Panią za tłumaczenie. Wszystko super 👌 ❤️""";
"Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,1,""(Übersetzt von Google) Sehr schön";
;
(Original);
"rất hay""";
Herzogin Elisabeth Hospital,2, 1 Stern ,vor 3 Jahren,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 6 Monaten,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 5 Monaten,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor einem Jahr,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 4 Jahren,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor einem Jahr,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor einem Jahr,0,;
Herzogin Elisabeth Hospital,2, 3 Sterne ,vor einem Jahr,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 4 Jahren,0,;
Herzogin Elisabeth Hospital,2, 1 Stern ,vor 2 Jahren,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 2 Jahren,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 2 Jahren,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor einem Jahr,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Tagen,0,;
Herzogin Elisabeth Hospital,2, 1 Stern ,vor 4 Jahren,0,;
Herzogin Elisabeth Hospital,2, 4 Sterne ,vor einem Jahr,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor einem Jahr,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor einem Jahr,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,0,;
Herzogin Elisabeth Hospital,2, 1 Stern ,vor 5 Monaten,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor einem Jahr,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 4 Jahren,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 2 Jahren,0,;
Herzogin Elisabeth Hospital,2, 1 Stern ,vor 4 Jahren,0,;
Herzogin Elisabeth Hospital,2, 1 Stern ,vor einem Jahr,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,0,;
Herzogin Elisabeth Hospital,2, 3 Sterne ,vor 3 Jahren,0,;
Herzogin Elisabeth Hospital,2, 4 Sterne ,vor einem Jahr,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 2 Jahren,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor einem Jahr,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 6 Monaten,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor einem Jahr,0,;
Herzogin Elisabeth Hospital,2, 4 Sterne ,vor 9 Monaten,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor einem Jahr,0,;
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 9 Monaten,0,;
