Name der Klinik,Sternbewertung,Datum der Bewertung,Likes,Textuelle Bewertung
Krankenhaus Marienstift gGmbH, 5 stars ,5 months ago,0,"(Translated by Google) Our daughter was born here a year ago. We felt very well looked after, both personally and professionally. Thanks to the whole team!

(Original)
Vor einem Jahr ist unsere Tocher hier zur Welt gekommen. Wir haben uns sehr gut betreut gefühlt, sowohl menschlich als auch fachlich. Vielen Dank an das gesamte Team!"
Krankenhaus Marienstift gGmbH, 2 stars ,2 months ago,0,"(Translated by Google) Corona pandemic or not, we are more than disappointed with the women's clinic in Marienstift!
The midwives in the delivery room and the doctors in the operating room were very helpful, friendly and courteous - we felt completely satisfied and looked after there.
Unfortunately, the whole thing looked different on the ward ...
With one or two exceptions, the nurses on the ward were more than overwhelmed and the listlessness was hard to beat.
If you needed help, you were quickly fobbed off, explanations about breastfeeding were not given despite being asked, in case of severe pain I had to wait longer than 10 hours for a doctor / for help, when my daughter had a paused breath, she was only shaken by the sister and I was told: I should stay relaxed, it would be all okay, but that my midwife came up from the delivery room for 30 minutes and took my child away from me to check it doesn't sound like it: IT'S ALL GOOD.
Unfortunately there was very little information and if there was any you got 5 different variants.
In spite of all this, a huge, big thank you goes to the midwives in the delivery room and to the doctors including the appendix in the operating room.
They tried to accompany me perfectly through this unplanned caesarean section.
The only thing you can say about the ward is that you should consider that the rooms are very noisy and statements such as: What does room xx want again, are inappropriate!

(Original)
Corona Pandemie hin oder her, wir sind mehr als enttäuscht von der Frauenklinik im Marienstift!
Die Hebammen im Kreißsaal sowie die Ärzte im OP waren sehr hilfsbereit, freundlich und zuvorkommend - dort haben wir uns rundum zufrieden und aufgehoben gefühlt.
Leider sah das ganze geschehen auf Station anders aus...
Bis auf 1-2 Ausnahmen, waren die Schwestern auf Station mehr als überfordert bzw. die Lustlosigkeit war kaum zu übertreffen.
Wenn man Hilfe benötigt hat, wurde man schnell abgespeist, Erklärungen zum Stillen trotz Nachfrage nicht gegeben, bei starken Schmerzen musste ich länger als 10Stunden auf einen Arzt warten/ auf Hilfe, als meine Tochter dann einen Atemaussetzer hatten wurde Sie von der Schwester nur geschüttelt und mir wurde gesagt: ich soll entspannt bleiben es wäre alles Okay, dass aber 30min meine Hebamme vom Kreißsaal hochkam und mir mein Kind wegnahm zur Kontrolle hört sich für mich nicht nach: ES IST ALLES GUT AN.
Leider gab es sehr wenig Informationen und wenn es welche gab dann bekam man 5 verschiedene Varianten.
Trotz alledem geht ein riesen großen Dankeschön an die Hebammen im Kreißsaal und an die Ärzte inkl. Anhang im OP.
Die versucht haben, mich perfekt durch diesen nicht geplanten Kaiserschnitt zu begleiten.
Zu der Station kann man nur sagen, man sollte bedenken das die Räume sehr hellhörig sind und Aussagen wie: Was will Zimmer xx schon wieder, unpassend sind!"
Krankenhaus Marienstift gGmbH, 5 stars ,5 months ago,0,"(Translated by Google) A very recommendable Christian hospital!
Staff always very friendly and accommodating.
The good handling of patients is particularly noteworthy!

(Original)
Ein sehr empfehlenswertes christliches Krankhaus!
Personal immer sehr freundlich und zuvorkommend.
Der gute Umgang mit Pat.ist besonders hervorzuheben!"
Krankenhaus Marienstift gGmbH, 1 star ,3 weeks ago,0,"(Translated by Google) Never again unclean and unfriendly and the doctors are wrong if they don't know where to go

(Original)
Nie wieder unsauber und unfreundlich und die Ärzte sind von daneben wenn die nicht weiter wissen soll man in ja wo anderes hin"
Krankenhaus Marienstift gGmbH, 2 stars ,4 months ago,0,"(Translated by Google) My daughter-in-law gave birth to her daughter there two months ago. Despite the difficult situation, the staff was very nice and courteous. Unfortunately, my daughter-in-law was discharged after three days, despite the unhealed caesarean section scar. After two days she came back to the hospital with a purulent wound and was allowed to stay for 5 days. Now after 6 weeks everything has finally healed. If the doctors had given her more time in the hospital, the many subsequent visits to the doctor, the outpatient care service and, last but not least, all the pain might not have been necessary.

(Original)
Meine Schwiegertochter hat vor zwei Monaten dort ihre Tochter entbunden.  Das Personal war trotz der schwierigen Lage sehr nett und  zuvorkommend. Leider ist meine Schwiegertochter trotz unverheilter Kaiserschnittnarbe nach drei Tagen entlassen worden.  Sie kam dann nach zwei Tagen mit eitriger Wunde wieder in's Krankenhaus und durfte dann 5 Tage bleiben.  Jetzt nach 6 Wochen ist endlich alles verheilt. Wenn die Ärzte  ihr mehr Zeit im Krankenhaus gegeben hätten, wären die vielen nachträglichen Arztbesuche, der ambulante Pflegedienst und nicht zu vergessen,  die ganzen Schmerzen evtl. nicht nötig gewesen."
Krankenhaus Marienstift gGmbH, 5 stars ,3 months ago,0,"(Translated by Google) I had my daughter there in March and can't say anything negative.We came around 5 a.m. and both midwives that I had were very nice and helpful.I was at the time but the only woman who gave birth, so the midwife could also do that be with me all the time .. At some point the doctor came in I already knew him from a 5-day hospital stay while pregnant and when he came in, my friend said I was very excited and listened to the doctor, the doctor agreed to breathe with me and Well spoken to me .. Super great I was really happy that he was there. The birth was difficult and exhausting for everyone but after that the world was okay. I joked with the doctor immediately afterwards and the nurses in the rooms are all great nice, I can really say nothing but nothing negative I'm looking forward to the birth of my 2m child there ☺️🙏

(Original)
Ich hab dort im März meine Tochter bekommen und kann absolut nix negatives sagen wir kamen gegen 5 Uhr morgens und beide Hebammen die ich hatte waren sehr nett und hilfsbereit ich war zu dem zeitblpubkt aber die einzige frau die entbunden hat also konnte die hebamme dann auch die ganze zeit bei mir sein.. Irgendwann kam dann der arzt rein ich kannte ihn schon aus einem 5vtägigen Krankenhaus aufenthalt in der schwangerschaft und als dieser rein kam sagte mein freund war ich teifenenspannt und hab auf den arzt gehört der arzt hat zusagen mit mir veratmet und mir gut zu gesprochen.. Super klasse ich  war heil froh das er da war die Geburt war schwierig und anstrengend für alle aber danach war die welt in ordnung ich hab direkt danach mit dem doctor Witze gemacht und auch die Schwestern auf den Zimmern sind alle super nett ich kann wirklich garnix aber auch nix negatives sagen freue mich schon auf die Geburt meines 2m Kindes dort ☺️🙏"
Krankenhaus Marienstift gGmbH, 1 star ,6 months ago,0,"(Translated by Google) Visiting times are from 10 a.m. to 8 p.m. on the internet and the information only says from 2 p.m. because you drive there from celle and should spend 5 hours there, really not nice

(Original)
Im Internet stehen besuchszeiten von 10-20uhr und an der Info heißt es erst ab 14 Uhr da fährt mann von celle dort hin und soll 5Stunden  dann da rum gammeln echt nicht nett"
Krankenhaus Marienstift gGmbH, 5 stars ,9 months ago,1,"(Translated by Google) My mother went to the C2 emergency room and was then transferred to the M3 / palliative care unit. Lay there until the end. She was always treated well, although she was not always easy to care for. I was always treated correctly. Furthermore, I was offered help afterwards.
I thank you again

(Original)
Meine Mutter ging über die Notaufnahme in die C2 wurde dann auf auf die M3 / Palliativ Station verlegt. Lag dort bis zum Ende. Sie wurde stets gut behandelt obwohl Sie nicht immer Pflegeleicht wahr. Ich selber wurde stets korrekt behandelt. Des Weiteren  wurde mir in Anschluss Hilfe angeboten.
Ich bedanke  mich  nochmals dafür"
Krankenhaus Marienstift gGmbH, 5 stars ,5 months ago,1,"(Translated by Google) We were recommended the Marienstift by well-known people & can only recommend it to everyone.

Our little daughter saw the light of day on October 10, 2020 at 5.45 p.m. We have been hospitalized here for 5 days and are fully cared for. All the staff, whether in the delivery room or on the ward, are very kind and helpful as well as courteous.

The team and the new head doctor are just great.

I would particularly like to address the wonderful midwives on this path:

As lovingly as you can still see through even under constant stress and high performance, I can only take my hat off and express my respect.

For many it's just a job, but what the ladies do there, I can only thank you with my fullest appreciation.

For many parents or parents-to-be who give birth to their first baby, it is a stressful situation that has many emotions and mixed feelings.
There I and my wife were proven exactly the opposite and the great support and also the relief after the birth showed us how great and happy the staff do their work. Without talking to each individual, it could have been much worse for us both physically and emotionally.

We would therefore like to thank everyone involved from the bottom of our hearts and wish you all continued success and many healthy births and happy parents.

Thanks & best regards

Family Baloglu & our little ALARA

(Original)
Wir haben das Marienstift durch bekannte empfohlen bekommen & können es nur jedem weiterempfehlen.

Unsere kleine Tochter hat das Licht der Welt am 10.10.2020 um 17.45 Uhr erblickt. Wir sind nun seit 5 Tagen hier stationär aufgenommen und werden vollumfänglich betreut. Sämtliches Personal ob im Kreißsaal oder auch auf der Station sind sehr lieb und hilfsbereit sowie zuvorkommend.

Das Team und die neue Chefärztin sind einfach nur toll.

Besonders möchte ich mich auf diesem Weg an die wundervollen Hebammen richten:

So liebevoll auch unter Dauerstress und Höchstleistung immer noch einen Durchblick zuhaben, kann ich nur meinen Hut ziehen und meine Hochachtung aussprechen.

Für viele ist es nur ein Job aber das was die Damen dort verrichten, kann ich mich einfach nur mit meiner vollsten Anerkennung bedanken.

Für viele Eltern bzw. werdende Eltern, die ihr erstes Baby zur Welt bringen, ist es sowieso eine Stresssituation die mit vielen Emotionen und gemischten Gefühlen in sich hat.
Dort wurde mir und meiner Frau aber genau das Gegenteil bewiesen und die tolle Unterstützung und auch die Erleichterung nach der Geburt, hat uns gezeigt wie toll und gerne das Personal seine Arbeit macht. Ohne die Gespräche mit jedem Einzelnen hätte es für uns körperlich sowie emotional viel schlimmer sein können.

Daher möchten wir uns vom tiefstem Herzen bei allen Beteiligten bedanken und wünsche euch allen weiterhin viel Erfolg und viele gesunde Geburten und fröhliche Eltern.

Danke & liebe Grüße

Familie Baloglu & unsere kleine ALARA"
Krankenhaus Marienstift gGmbH, 5 stars ,5 months ago,1,"(Translated by Google) Very personal and profound, great team atmosphere, the patients are very well looked after

(Original)
Sehr persönlich und profund,  prima Team Atmosphäre, die Patienten sind sehr wohl behütet"
Krankenhaus Marienstift gGmbH, 5 stars ,6 months ago,0,"(Translated by Google) I can only recommend this hospital. I have been a patient there for many years and have always been very satisfied.

(Original)
Ich kann dieses Krankenhaus nur weiter empfehlen. Seit vielen Jahren bin ich dort Patientin und immer sehr zufrieden."
Krankenhaus Marienstift gGmbH, 1 star ,9 months ago,0,"(Translated by Google) All employees wore a mask when I was there, or mouth-nose protection, only one employee with a laundry trolley wore his protection under his chin and breathed a ""good day"" to me. Incredible!

(Original)
Alle Mitarbeiter haben als  ich dort war eine Maske getragen, bzw. Mund - Nasenschutz , nur ein Mitarbeiter mit Wäschetrolly trug seinen Schutz unter dem Kinn und hauchte  mir einen ""Guten Tag ""entgegen.  Unglaublich!"
Krankenhaus Marienstift gGmbH, 5 stars ,a year ago,1,"(Translated by Google) It could not be better! Every time I received the friendliest reception in THIS hospital (my experience lies with the gynecological clinic). The doctors as well as the sisters are very nice. The rooms are nicely decorated, do not have the typical hospital flair. Treatments are done quickly and thoroughly. Thank you for the pleasant time!

(Original)
Besser geht's nicht! Jedes mal wurde ich in DIESEM Krankenhaus am freundlichsten Empfangen (meine Erfahrung liegt bei der Frauenklinik). Die Ärzte sowie die Schwestern sind sehr nett. Die Zimmer sind nett eingerichtet , haben nicht das typische Krankenhausflair. Behandlungen erfolgen zügig und gründlich. Vielen Dank für die angenehme Zeit!"
Krankenhaus Marienstift gGmbH, 5 stars ,6 months ago,1,"(Translated by Google) Through the midwives Katrin Hohensee and Jördis Meier and the doctor Eduard Rorbach, I experienced an absolutely magical birth. Love words, laughing during the pauses in labor, caresses, good tips for promoting an easier birth and great instructions. Tracy, the midwife student I met briefly, was also very helpful and kept an eye on me. After giving birth, I was given dinner and chocolate. Music was played for us in the delivery room. It has become an incredible memory. I got my other two mice in Wob, which cannot be compared at all. The aftercare on the ward was also very pleasant. Nice nurses and doctors were always helpful. I was there for 3 days and felt very comfortable. I was able to recover well and would have stayed there 2 more days. Thank you very much for this time🌻

(Original)
Ich habe durch die Hebammen Katrin Hohensee und Jördis Meier mit dem Arzt Eduard Rorbach, eine absolut zauberhafte Geburt erlebt. Liebe Worte, lachen während der Wehenpausen, Streicheleinheiten, gute Tipps zur Förderung einer einfacheren Geburt und eine super Anleitung. Auch die Hebammenschülerin und Hebamme Tracy, die ich kurz kennenlernte, waren sehr hilfsbereit und hatten ein Auge auf mich. Ich bekam nach der Geburt noch Abendbrot und Schokolade. Es wurde für uns Musik im Kreißsaal abgespielt. Es ist zu einer unglaublichen Erinnerung geworden. Meine beiden anderen Mäuse bekam ich in Wob, was überhaupt nicht zu vergleichen ist. Die Nachsorge auf der Station war auch sehr angenehm. Nette Schwestern und Ärzte waren stets hilfsbereit. Ich war 3 Tage dort und fühlte mich sehr wohl. Ich konnte mich gut erholen und wäre auch noch 2 Tage länger dort geblieben. Ich danke ganz herzlich für diese Zeit🌻"
Krankenhaus Marienstift gGmbH, 1 star ,7 months ago,2,"(Translated by Google) Catastrophic clinic, unfriendly staff, meals that look like they have already been eaten, poor flow of information, lack of information about treatment and therapy options.
Can only advise against being treated there as a patient.

(Original)
Katastrophale Klinik, unfreundliches Personal, Mahlzeiten die aussehen wie schonmal verspeist, schlechter Informationsfluss, Mangelnde Aufklärung über Behandlungs u Therapiemöglichkeiten.
Kann nur jeden davon abraaten sich dort als Patient behandeln zu lassen."
Krankenhaus Marienstift gGmbH, 1 star ,8 months ago,0,"(Translated by Google) Excessively disappointed.
Attention! Cost trap for pregnant women.
We were at the midwife consultation before the birth of our daughter to register in advance and, above all, because we had questions about the construction work. The delivery room had suddenly had to close several times at that time and births could not take place. We had to wait a long time and only got to it when the actual consultation hour had already expired. This was followed by a 15-minute conversation about the construction measures and the weather while we filled out the pre-registration form - with a note that we were considering another hospital because of the construction site situation.
It wasn't a word about birth or my pregnancy. We didn't have any questions about that and there wasn't time for that either.
The bad awakening came afterwards.
The midwives settle the call with the number 0203. This is the same position through which the introductory discussion with your own midwife runs. Each pregnant woman is only reimbursed once. If you have a midwife, pre-registration effectively costs 45 euros!
It is not pointed out what I consider a cheek!
After consultation, this not only happened to me, but also to others from my birth preparation course who were registered during the consultation hour.
So far I have held large pieces on the Marienstift and the Neuerkerode Foundation. We even collected at our wedding service for the Evangelical Foundation Neuerkerode.

After this experience I am now extremely disappointed! Never again if it can be avoided.

(Original)
Maßlos enttäuscht.
Achtung! Kostenfalle für Schwangere.
Wir waren vor der Geburt unserer Tochter zur Hebammensprechstunde, um uns voranzumelden und vor allem, weil wir Fragen zu den Baumaßnahmen hatten. Der Kreißsaal hatte zu dieser Zeit bereits mehrfach plötzlich schließen müssen und Geburten konnten nicht stattfinden. Wir mussten sehr lange warten und kamen erst dran, als die eigentliche Zeit der Sprechstunde schon abgelaufen war. Es folgte ein 15-minütiges Gespräch über die Baumaßnahmen und das Wetter, während wir den Bogen für die Voranmeldung ausfüllten - gleich mit Hinweis, dass wir wegen der Baustellensituation über ein anderes Krankenhaus nachdenken.
Es ging mit keinem Wort um die Geburt oder um meine Schwangerschaft. Dazu hatten wir keine Fragen und Zeit dazu war auch nicht.
Das böse Erwachen kam im Nachhinein.
Die Hebammen rechnen das Gespräch mit der Ziffer 0203 ab. Das ist die gleiche Position über die das Kennenlerngespräch mit der eigenen Hebamme läuft. Dieses bekommt jede Schwangere aber nur einmal erstattet. Effektiv kostet die Voranmeldung, wenn man eine Hebamme hat, damit 45 Euro!
Darauf wird nicht hingewiesen, was ich für eine Frechheit halte!
Das ist nach Rücksprache auch nicht nur mir passiert, sondern auch anderen aus meinem Geburtsvorbereitungskurs, die zur Anmeldung in der Sprechstunde waren.
Ich habe bisher große Stücke auf den Marienstift und die Stiftung Neuerkerode gehalten. Wir haben sogar an unserer Hochzeit im Gottesdienst für die Evangelische Stiftung Neuerkerode gesammelt.

Nach dieser Erfahrung bin ich nun einfach maßlos enttäuscht! Nie wieder, wenn es sich vermeiden lässt."
Krankenhaus Marienstift gGmbH, 1 star ,a year ago,1,"(Translated by Google) The station M1 was great. Unfortunately, the M3 is the complete opposite. No drinking protocol with a kidney patient, on demand was asked by a 91-year-old lady to remember what she drank during the day.
The doctor was unfortunately the opposite of station M1. Terrible up here under the roof.
My grandma was not well looked after.

(Original)
Die Station M1 war super. Leider ist die M3 das komplette Gegenteil. Kein Trink Protokoll bei einer Nieren Patientin, auf Nachfrage wurde von einer 91- jährigen dame verlangt sich zu erinnern was sie tagsüber alles getrunken hat.
Die Ärztin war leider auch das Gegenteil zu Station M1. Furchtbar hier oben unter dem Dach.
Meine Oma wurde nicht gut versorgt."
Krankenhaus Marienstift gGmbH, 5 stars ,a year ago,3,"(Translated by Google) We were allowed to give birth to our son in the Marienstift.
I could now write a multi-page essay on how warm the staff and the personal care at the Marienstift hospital was.
However, I save myself that we just want to say thank you from the bottom of my heart for everything! It couldn't be better!

(Original)
Wir haben unseren Sohn im Marienstift zur Welt bringen dürfen.
Ich könnte jetzt einen merhseitigen Aufsatz verfassen, wie herzlich das Personal und persönlich die Betreuung im Krankenhaus Marienstift war.
Jedoch spare ich mir das uns möchte einfach nur aus tiefsten Herzen Danke für alles sagen! Besser geht es nicht!"
Krankenhaus Marienstift gGmbH, 5 stars ,a year ago,0,"(Translated by Google) Through the Marienstift I became aware of the TOP Nursing Dandelion. The girls are the blast. The care in the Marienstift was very good for my father. Food tastes good, doctors, nurses and carers were always there for us! The stay is a bit dated, but better late than never

(Original)
Durch das Marienstift bin ich auf den TOP Pflegedienst Pusteblume aufmerksam geworden. Die Mädels sind der Knaller. Die Pflege im Marienstift war für meinen Vater sehr gut. Essen schmeckt, Ärzte, Schwestern und Pfleger waren immer für uns da! Der Aufenthalt ist schon etwas her, aber besser spät als nie"
Krankenhaus Marienstift gGmbH, 5 stars ,a year ago,0,"(Translated by Google) A great hospital. I feel very well cared for on the C2. Everyone is nice and makes an effort. The surgeon did a great job. The rooms are comfortable and do not look like hospital. I would always choose the Marienstift. A big thank you to the team !!!

(Original)
Ein tolles Krankenhaus. Ich fühle mich auf der C2 super gut aufgehoben. Alle sind nett und um einen bemüht. Der Chirurg hat seine Arbeit super gemacht. Die Zimmer sind gemütlich und sehen gar nicht nach Krankenhaus aus. Ich würde mich immer wieder für das Marienstift entscheiden. Ein großes Danke an das Team!!!"
Krankenhaus Marienstift gGmbH, 2 stars ,a year ago,5,"(Translated by Google) Nice sisters, arrogant head doctor. Here I was, according to my amateur knowledge, medically well looked after, but waved through like a ""number"". I did not feel taken seriously. Was treated like a small child despite my 46 years. Next time (hopefully I do not need it) I would insist going somewhere else.

(Original)
Nette Schwestern, arroganter Chefarzt. Hier wurde ich zwar, nach meinem laienhaften Wissen, medizinisch gut versorgt, allerdings wie eine ""Nummer"" durchgewunken. Ich habe mich nicht ernst genommen gefühlt. Wurde, trotz meiner 46 Jahre wie ein kleines Kind behandelt. Ich würde das nächste Mal (hoffentlich brauche ich es nicht) darauf bestehen woanders hinzugehen."
Krankenhaus Marienstift gGmbH, 1 star ,a year ago,3,"(Translated by Google) Nice sisters, but otherwise an obvious inflammation in the entire oral cavity was simply overlooked. It was always called ""everything perfect"" and so I would then, too early, dismiss. As a supplementary insured I had no ""benefits"". A chief physician visit was not given at all.

(Original)
Nette Schwestern, aber ansonsten wurde eine offensichtliche Entzündung im gesamten Mundraum einfach übersehen. Es hieß immer „alles perfekt“ und damit würde ich dann auch, viel zu früh, entlassen. Als Zusatzversicherter hatte ich keinerlei „Vorteile“. Eine Chefarztvisite war überhaupt nicht gegeben."
Krankenhaus Marienstift gGmbH, 4 stars ,a year ago,2,"(Translated by Google) Since we have taken several shifts in the delivery room ... I can only say the three midwives were all great. An assistant doctor was not great
Sisters on station overwhelmed, sometimes unfriendly.
We would come back anyway.

(Original)
Da wir mehrere Schichten im Kreißsaal mitgenommen haben... Kann ich nur sagen die 3 Hebammen waren alle super. Eine Assistentsärztin war gar nicht toll
Schwestern auf Station überfordert, teilweise unfreundlich.
Wir würden trotzdem wieder kommen."
Krankenhaus Marienstift gGmbH, 5 stars ,a year ago,0,"(Translated by Google) So far, I have always been somewhat skeptical of Braunschweig clinics because of the bad experiences that relatives have made especially in the large clinic complex in the south, but the Marienstift has proven to me (in this case even as a patient on ward C2) that things are completely different. The nurses were very polite and I was medically well cared for (as far as I can tell). There were also some trainees with the experienced sisters / nurses, so that I have the impression that the lack of staff in the care sector does not occur at the Marienstift.
Only criticism:
Both the surgeon (in the lockcaree) and the hospitalization I had to answer many forms with many similar questions. Say: For the recording you should bring a few hours time ...

(Original)
Bislang war ich Braunschweiger Kliniken gegenüber immer etwas skeptisch aufgrund der schlechten Erfahrungen, die Angehörige insbesondere in dem großen Klinikkomplex im Süden gemacht haben, aber das Marienstift hat mir (in dem Fall selbst als Patient auf Station C2) bewiesen dass es auch ganz anders geht. Die Krankenschwestern waren sehr höflich und ich wurde medizinisch (soweit ich als Laie das ermessen kann) sehr gut betreut. Da waren bei den erfahrenen Schwestern/Pflegern auch einige Azubis dabei, so dass ich den Eindruck habe, dass der Personalmangel im Pflegebereich nicht beim Marienstift auftritt.
Einziger Kritikpunkt:
Sowohl beim Chirurgen (im Schlosscaree) als auch bei der Aufnahme im Krankenhaus musste ich ganz viele Formulare mit sehr vielen gleichen Fragen beantworten. Sprich: Für die Aufnahme sollte man ein paar Stunden Zeit mitbringen..."
Krankenhaus Marienstift gGmbH, 5 stars ,2 years ago,1,"(Translated by Google) It is not better. Great team here. Finally doctors whom you can trust and are competent. Staff 1 +++. Thank you for the pleasant stay and help.

(Original)
Besser geht es nicht. Super Team hier. Endlich mal Ärzte denen man vertrauen kann und kompetent sind. Personal 1+++. Vielen Dank für den angenehmen Aufenthalt und Hilfe."
Krankenhaus Marienstift gGmbH, 5 stars ,a year ago,1,"(Translated by Google) We thank you for the help and care! We recommend this house to anyone and would visit it again anytime.

The birth of my son took place thanks to the help of the courteous and competent midwives, sisters and doctors without complications. They also did the mental support and were there for me and my girlfriend.

The food was also delicious and varied, compared to other houses.

Thank you and gladly again !!!!!

(Original)
Wir bedanken uns herzlich für die Hilfe und die Betreuung! Wir empfehlen dieses haus jedem weiter und qwürde es jederzeit wieder besuchen .

Die Geburt meines Sohnes verlief Dank der Hilfe der zuvorkommenden und fachlich kompetenten Hebammen, Schwestern und Ärzte ohne Komplikationen. Auch den seelischen Beistand haben sie gut geleistet und waren für mich und meine Freundin da.

Das essen war ebenfalls lecker und abwechslungsreich, im Vergleich zu anderen Häusern.

Danke und gerne wieder!!!!!"
Krankenhaus Marienstift gGmbH, 5 stars ,a year ago,2,"(Translated by Google) I was well looked after in the Marienstift Hospital. Although I was very anxious, the doctor and the nurses in the emergency room could calm me down and assure me that I had made the right choice. (I had introduced myself with very high blood pressure). Also later on the station I was treated friendly, calm and absolutely competent. I think that's very important, because my trust in this house has taken away my fear.
The next day I had the luck of Dr. Prönneke to be examined. It alone is worth the way to this hospital. He evaluated the blood results, the ECG and the X-rays and could give the all-clear. At his station (inside) you feel 100% in the right hands. Thanks to the friendly nurses and to Dr. Ing. Proenneke. It is my pleasure to be your patient! Thank you.

(Original)
Ich wurde im Marienstift Krankenhaus bestens versorgt. Obwohl ich sehr ängstlich war konnten die Ärztin und die Schwestern in der Notaufnahme mich beruhigen und mir versichern die richtige Wahl getroffen zu haben. (Ich hatte mich selbst vorgestellt mit sehr hohem Blutdruck). Auch später auf der Station wurde ich freundlich, ruhig und absolut kompetent behandelt. Das finde ich total wichtig, da mein Vertrauen zu diesem Haus mir meine Angst genommen hat.
Am nächsten Tag hatte ich das Glück von Herrn Dr. Prönneke untersucht zu werden. Dafür allein lohnt sich schon der Weg in dieses Krankenhaus. Er wertete die Blutergebnisse, das EKG und die Röntgenbilder aus und konnte Entwarnung geben. Auf seiner Station (Innere) fühlt man sich zu 100% in den richtigen Händen. Danke an die freundlichen Krankenschwestern und an Herrn Dr. Prönneke. Es ist mir ein Vergnügen Ihr Patient zu sein! Danke."
Krankenhaus Marienstift gGmbH, 3 stars ,a year ago,2,"(Translated by Google) I should pay attention to my cleanliness, because of risk of infection. I had asked for my bed three times. Finally, I had to take my bed alone. And that's what Christian charity calls.

(Original)
Ich sollte auf meine Sauberkeit achten, wegen infektionsgefahr. Ich hatte dreimal drum gebeten mein Bett zu beziehen. Zum Schluss musste ich mein Bett alleine beziehen. Und das nennen die christliche Nächstenliebe."
Krankenhaus Marienstift gGmbH, 4 stars ,a year ago,3,"(Translated by Google) My mother was in the Marienstift and the ice cream is delicious. 🍨🍧🍦

(Original)
Meine Mutter lag im Marienstift und das Eis ist sehr lecker. 🍨🍧🍦"
Krankenhaus Marienstift gGmbH, 5 stars ,2 years ago,1,"(Translated by Google) Very friendly, helpful and open-minded staff, which also shows a smile. I felt very well cared for. Thank you very much

(Original)
Sehr freundliches, hilfsbereites und aufgeschlossenes Personal, das auch mal ein Lächeln zeigt. Habe mich sehr gut aufgehoben gefühlt. Danke schön"
Krankenhaus Marienstift gGmbH, 5 stars ,2 years ago,2,"(Translated by Google) Great sisters and great head physician in the gynecological clinic. No mass processing and decent staff. In most hospitals, it is really dirty and can not look at the people there. Marienstift is absolutely recommendable !!!

(Original)
Tolle Schwestern und toller Chefarzt in der Frauenklinik. Keine Massenabfertigung und ordentliches Personal. In den meisten Krankenhäusern ist es wirklich unsauber und kann mir die Menschen dort gar nicht anschauen. Marienstift ist absolut empfehlenswert!!!"
Krankenhaus Marienstift gGmbH, 5 stars ,2 years ago,0,"(Translated by Google) Very nice and obliging sisters. Doctors also friendly and competent. In any case, no mass processing, which is very pleasing.

(Original)
Sehr nette und zuvorkommende Schwestern. Ärzte auch freundlich und kompetent. Auf jeden Fall keine Massenabfertigung, was sehr erfreulich ist."
Krankenhaus Marienstift gGmbH, 5 stars ,2 years ago,2,"(Translated by Google) Area gynecological clinic, we were there for the birth of our child there and in the occurring birth stop we were very well and professionally helped. The aftercare was very friendly and the staff always had time for us. Only the signage on the site should be significantly expanded.

(Original)
Bereich Frauenklinik, wir waren zur Geburt unseres Kindes dort und bei dem auftretenden Geburtsstopp wurde uns sehr gut und professionell geholfen. Auch die Nachsorge war sehr freundlich und das Personal hatte immer Zeit für uns. Nur die Beschilderung auf dem Gelände sollte deutlich ausgebaut werden."
Krankenhaus Marienstift gGmbH, 1 star ,2 years ago,4,"(Translated by Google) Incompetent and unfriendly midwife let an intern work for her and when it was time for the operation, the doctor also made jokes and stupid sayings.

For us it was a pure disappointment, especially because it was our first child that we had. Never again!!!

(Original)
Hebamme inkompetent und unfreundlich hat einen Praktikanten für sich Arbeiten lassen und als es zur OP ging hat der Arzt auch noch Witze und dumme Sprüche gemacht.

Für uns eine reine Enttäuschung vor allem weil es unser erstes Kind war was wir bekommen haben. Niemals wieder!!!"
Krankenhaus Marienstift gGmbH, 5 stars ,2 years ago,2,"(Translated by Google) Many thanks to the c2 for the treatment, I can only recommend.
Big praise to the learning sisters and tutors during the project week

(Original)
Vielen Dank an die c2 für die Behandlung, kann ich nur weiterempfehlen.
Großes Lob an die Lernschwestern und Lernpfleger im Rahmen der Projekt Woche"
Krankenhaus Marienstift gGmbH, 1 star ,2 years ago,1,"(Translated by Google) unfriendly staff
Staff quality 0
1st visit 2018 February op decision
Op finished after ..
Result until the end of the years day by day more and more pain
2nd Visit2018 December again op and after 1 day stay home ..
Result even more painful as before.
3rd visit in 2019 January
Stay in hospital again You can not ask anyone what.
If you ask someone something you would always be dismissed ..
4th days pointless home delivery
Result. 0.0

Comment from the doctors
We can not find anything

(Original)
unfreundliches Personal
Personal Qualität 0
1.besuch 2018Februar op Entscheidung
Op fertig nach ..
Ergebnis bis ende der Jahre Tag zu Tag schmerzen immer mehr immer mehr
2. Besuch2018 Dezember wieder op und nach 1 Tag Aufenthalt nach Hause..
Ergebnis noch mehr schmerzen wie vor.
3.besuch 2019 Jänner
Wieder Spital bleiben Sie können niemanden was fragen.
Wenn Sie jemand was fragen Sie würden immer abgewiesen..
4.tagen sinnlosen offenhalte nach Hause
Ergebnis.    0,0

Kommentar von die Ärzte
Wir können nichts finden"
